title,rating
Mini Mouse,5.0
Awesome,5.0
"Excellent product, using it for a year",5.0
Wonderful,5.0
Worth every penny,5.0
GREAT PRODUCT!,5.0
Compact..Smooth....Perfect,5.0
Perfect product!,5.0
Mind-blowing purchase,5.0
Does the job,3.0
Must buy!,5.0
Very Good,4.0
Good choice,4.0
Excellent Product & Best Budget Mouse,5.0
Excellent,5.0
Awesome,5.0
Classy product,5.0
Nice and Compact Mouse at Competitive Price,5.0
Super!,5.0
Very Good,4.0
Perfect product!,5.0
Excellent,5.0
Perfect product!,5.0
Value-for-money,4.0
Excellent,5.0
Value-for-money,4.0
Terrific,5.0
Fabulous!,5.0
Terrific,5.0
Just okay,3.0
Delightful,4.0
Super!,5.0
Just wow!,5.0
Best in the market!,5.0
Just wow!,5.0
Just wow!,5.0
Great product,5.0
Awesome,5.0
Nice product,4.0
fits comfortably,5.0
Worth every penny,5.0
Worth every penny,5.0
Fair,3.0
Brilliant,5.0
Mind-blowing purchase,5.0
Wonderful,5.0
Worth purchasing...,4.0
Really Nice,4.0
Worth every penny,5.0
Stylish n Smooth.....,4.0
Wonderful,5.0
Terrific purchase,5.0
Simply awesome,5.0
Nice product,4.0
Awesome,5.0
Flipkart service,5.0
Brilliant,5.0
Nice product,4.0
Just wow!,5.0
Classy product,5.0
Worth every penny,5.0
Fabulous!,5.0
Worth the money,4.0
Good quality product,4.0
Classy product,5.0
good one,4.0
Classy product,5.0
Good quality product,4.0
Really tough!,4.0
Fabulous!,5.0
Disappointed by the actual size,3.0
Product is overall good but heavy click sounds,4.0
HP,5.0
HP Mouse - good one,5.0
very fast service,5.0
Good mouse for ladies!,4.0
Good but nothing extraordinary,3.0
good and  compact product for all,4.0
Best Product,4.0
awwsum one,5.0
Nice mouse,4.0
Good long lasting,5.0
GOOOD PRODUCT,5.0
Amazing Product,5.0
HP x 1000,4.0
Good quality product,4.0
Best in the market!,5.0
Worth every penny,5.0
Awesome but the size is quite small....,5.0
value for money ...,5.0
Small sized mouse- good for laptop use.,5.0
Worth the price!,4.0
Nice Mouse for Laptop,4.0
Good but not worth it!!!!!!,3.0
EXCELLENT PRODUCT,5.0
Go for it,5.0
Smooth Flow,5.0
Superb Mouse,5.0
Perfect Mouse,5.0
I really well satisfied by this mouse for my HP laptop.,5.0
good Product,4.0
Its a good product,5.0
worth buy,4.0
cute,4.0
Nice HP Mouse!! :),4.0
Best Finger Grip Mouse,5.0
Perfect,5.0
Great Product from Hp and Great Service from Flipkart,5.0
Good Mouse Worth it !,4.0
The Tiny Beauty! :),5.0
Small But Works Good,5.0
Nice build quality!!,4.0
Good choice for normal home use..,5.0
A mouse for less than a year's use,4.0
Flipkart is the Best!,4.0
Excellent,5.0
A really good mouse!,5.0
Good,4.0
Good quality and small size,4.0
Good One...but not for the ones with Big palms,4.0
Wow Its Awesome,4.0
Awesome,5.0
Good Value For Money,5.0
Good Mouse; but small in size,4.0
Excellent,5.0
Not a bad thing!!!,4.0
Excellent Mouse,5.0
Quite handy,4.0
nyc..,4.0
Excellent Product,5.0
Excellent product!,5.0
superb mouse,5.0
Great one,5.0
"Amazing product, value for money..",5.0
Excellent,5.0
Mind-blowing purchase,5.0
Terrific purchase,5.0
Simply awesome,5.0
Simply awesome,5.0
Good quality product,4.0
Awesome,5.0
Awesome,5.0
Value-for-money,4.0
Perfect product!,5.0
Perfect product!,5.0
Mind-blowing purchase,5.0
Excellent,5.0
Wonderful,4.0
Good product but limited warranty,4.0
Super!,5.0
Nice product,4.0
Awesome,5.0
Excellent,5.0
Just okay,3.0
Wonderful,4.0
Highly recommended,5.0
Terrific,5.0
Awesome,5.0
Terrific,5.0
Value-for-money,4.0
Fair,3.0
Brilliant,5.0
Just okay,3.0
Pretty good,4.0
Mind-blowing purchase,5.0
Mind-blowing purchase,5.0
Must buy!,5.0
Good choice,4.0
Pretty good,4.0
Good quality product,4.0
Nice product,4.0
Just okay,3.0
Super!,5.0
Fabulous!,5.0
Fabulous!,5.0
Worth every penny,5.0
Wonderful,4.0
Good choice,4.0
Mind-blowing purchase,5.0
Fabulous!,5.0
Fabulous!,5.0
Worth every penny,5.0
Wonderful,4.0
Good choice,4.0
Mind-blowing purchase,5.0
Classy product,5.0
Nice product,4.0
Good quality product,4.0
Great product,5.0
Just wow!,5.0
Best in the market!,5.0
Excellent,5.0
Brilliant,5.0
Worth every penny,5.0
Great product,5.0
Simply awesome,5.0
Just wow!,5.0
Wonderful,4.0
Wonderful,5.0
Terrific,5.0
Excellent,5.0
Just okay,3.0
Must buy!,5.0
Mind-blowing purchase,5.0
Mind-blowing purchase,5.0
Perfect product!,5.0
Delightful,4.0
Must buy!,5.0
Good quality product,4.0
Brilliant,5.0
Fair,3.0
Good quality product,4.0
Decent product,3.0
Simply awesome,5.0
Must buy!,5.0
Worth every penny,5.0
Terrific purchase,5.0
Pretty good,4.0
Brilliant,5.0
Perfect product!,5.0
Classy product,5.0
Highly recommended,5.0
Simply awesome,5.0
Really Nice,4.0
Nice product,4.0
Highly recommended,5.0
Terrific,5.0
Wonderful,4.0
Value-for-money,4.0
Worth every penny,5.0
Good,3.0
Good quality product,4.0
Delightful,4.0
Worth the money,4.0
Value-for-money,4.0
Worth every penny,5.0
Good,3.0
Good quality product,4.0
Delightful,4.0
Worth the money,4.0
Must buy!,5.0
Worth every penny,5.0
Really Nice,4.0
Brilliant,5.0
Worth every penny,5.0
Really Nice,4.0
Nice product,4.0
Very Good,4.0
Super!,5.0
Best in the market!,5.0
Perfect product!,5.0
Good choice,4.0
Just wow!,5.0
Really Nice,4.0
Best in the market!,5.0
Highly recommended,5.0
Does the job,3.0
Brilliant,5.0
Simply awesome,5.0
Fabulous!,5.0
Good choice,4.0
Fabulous!,5.0
Simply awesome,5.0
Fabulous!,5.0
Good choice,4.0
Fabulous!,5.0
Highly recommended,5.0
Great product,5.0
Excellent,5.0
Brilliant,5.0
Delightful,4.0
Terrific,5.0
Good quality product,4.0
Must buy!,5.0
Terrific purchase,5.0
Fabulous!,5.0
Fair,3.0
Wonderful,5.0
Super!,5.0
Fabulous!,5.0
Excellent,5.0
Brilliant,5.0
Great product,5.0
Nice product,4.0
Wonderful,5.0
Fabulous!,5.0
Great product,5.0
Wonderful,5.0
Just wow!,5.0
Very Good,4.0
Fabulous!,5.0
Nice,3.0
Wonderful,5.0
Does the job,3.0
Excellent,5.0
Excellent,5.0
Brilliant,5.0
Terrific,5.0
Pretty good,4.0
Does the job,3.0
Excellent,5.0
Excellent,5.0
Brilliant,5.0
Terrific,5.0
Pretty good,4.0
Worth the money,4.0
Very Good,4.0
Wonderful,4.0
Super!,5.0
Super!,5.0
Just wow!,5.0
Worth every penny,5.0
Great product,5.0
Pretty good,4.0
Great product,5.0
Good choice,4.0
Terrific purchase,5.0
Best in the market!,5.0
Very Good,4.0
Worth the money,4.0
Good,3.0
Mind-blowing purchase,5.0
Mind-blowing purchase,5.0
Really Nice,4.0
Good,3.0
Classy product,5.0
Terrific purchase,5.0
Wonderful,5.0
Mind-blowing purchase,5.0
Delightful,4.0
Good choice,4.0
Wonderful,4.0
Highly recommended,5.0
Decent product,3.0
Simply awesome,5.0
Wonderful,5.0
Terrific,5.0
Simply awesome,5.0
Must buy!,5.0
Very Good,4.0
Fabulous!,5.0
Perfect product!,5.0
Terrific purchase,5.0
Must buy!,5.0
Super!,5.0
Just okay,3.0
Really Nice,4.0
Just wow!,5.0
Nice product,4.0
Simply awesome,5.0
Worth the money,4.0
Classy product,5.0
Really Nice,4.0
Highly recommended,5.0
Brilliant,5.0
Good choice,4.0
Wonderful,4.0
Classy product,5.0
Worth every penny,5.0
Must buy!,5.0
Classy product,5.0
Value-for-money,4.0
Wonderful,5.0
Super!,5.0
Really Nice,4.0
Does the job,3.0
Best in the market!,5.0
Very Good,4.0
Classy product,5.0
Worth the money,4.0
Best in the market!,5.0
Just wow!,5.0
Terrific,5.0
Wonderful,4.0
Nice product,4.0
Classy product,5.0
Just okay,3.0
Mind-blowing purchase,5.0
Very Good,4.0
Great product,5.0
Terrific,5.0
Worth the money,4.0
Great product,5.0
Wonderful,5.0
Must buy!,5.0
Just wow!,5.0
Terrific,5.0
Worth the money,4.0
Great product,5.0
Wonderful,5.0
Must buy!,5.0
Just wow!,5.0
Terrific,5.0
Mind-blowing purchase,5.0
Pretty good,4.0
Brilliant,5.0
Value-for-money,4.0
Wonderful,5.0
Great product,5.0
Classy product,5.0
Fabulous!,5.0
Perfect product!,5.0
Simply awesome,5.0
Awesome,5.0
Perfect product!,5.0
Super!,5.0
Classy product,5.0
Wonderful,5.0
Super!,5.0
Wonderful,4.0
Highly recommended,5.0
Mind-blowing purchase,5.0
Excellent,5.0
Pretty good,4.0
Perfect product!,5.0
Must buy!,5.0
Just wow!,5.0
Excellent,5.0
Brilliant,5.0
Perfect product!,5.0
Delightful,4.0
Perfect product!,5.0
Delightful,4.0
Just wow!,5.0
Delightful,4.0
Pretty good,4.0
Perfect product!,5.0
Value-for-money,4.0
Excellent,5.0
Terrific,5.0
Brilliant,5.0
Fabulous!,5.0
Highly recommended,5.0
Highly recommended,5.0
Worth the money,4.0
Awesome,5.0
Mind-blowing purchase,5.0
Awesome,5.0
Decent product,3.0
Nice product,4.0
Good choice,4.0
Nice product,4.0
Simply awesome,5.0
Delightful,4.0
Awesome,5.0
Just okay,3.0
Really Nice,4.0
Must buy!,5.0
Wonderful,5.0
Classy product,5.0
Nice product,4.0
Good,3.0
Wonderful,4.0
Nice,3.0
Wonderful,4.0
Pretty good,4.0
Terrific purchase,5.0
Does the job,3.0
Wonderful,5.0
Good choice,4.0
Really Nice,4.0
Fair,3.0
Brilliant,5.0
Terrific purchase,5.0
Good quality product,4.0
Pretty good,4.0
Nice product,4.0
Perfect product!,5.0
Brilliant,5.0
Brilliant,5.0
Terrific,5.0
Simply awesome,5.0
Good quality product,4.0
Excellent,5.0
Best in the market!,5.0
Must buy!,5.0
Super!,5.0
Simply awesome,5.0
Good quality product,4.0
Excellent,5.0
Best in the market!,5.0
Must buy!,5.0
Super!,5.0
Classy product,5.0
Simply awesome,5.0
Pretty good,4.0
Good,3.0
Terrific,5.0
Very Good,4.0
Mind-blowing purchase,5.0
Highly recommended,5.0
Awesome,5.0
Awesome,5.0
Highly recommended,5.0
Great product,5.0
Best in the market!,5.0
Best in the market!,5.0
Simply awesome,5.0
Fabulous!,5.0
Mind-blowing purchase,5.0
Simply awesome,5.0
Just wow!,5.0
Fabulous!,5.0
Delightful,4.0
Mind-blowing purchase,5.0
Fabulous!,5.0
Delightful,4.0
Brilliant,5.0
Terrific,5.0
Great product,5.0
Just okay,3.0
Very Good,4.0
Excellent,5.0
Awesome,5.0
Delightful,4.0
Highly recommended,5.0
Worth every penny,5.0
Pretty good,4.0
Delightful,4.0
Highly recommended,5.0
Worth every penny,5.0
Pretty good,4.0
Really Nice,4.0
Mind-blowing purchase,5.0
Brilliant,5.0
Brilliant,5.0
Awesome,5.0
Good quality product,4.0
Worth the money,4.0
Must buy!,5.0
Good quality product,4.0
Terrific purchase,5.0
Awesome,5.0
Good quality product,4.0
Worth the money,4.0
Must buy!,5.0
Good quality product,4.0
Terrific purchase,5.0
Perfect product!,5.0
Simply awesome,5.0
Just okay,3.0
Super!,5.0
Terrific,5.0
Pretty good,4.0
Fabulous!,5.0
Really Nice,4.0
Good choice,4.0
Good quality product,4.0
Value-for-money,4.0
Decent product,3.0
Classy product,5.0
Awesome,5.0
Good quality product,4.0
Excellent,5.0
Just wow!,5.0
Wonderful,4.0
Good,3.0
Highly recommended,5.0
Good quality product,4.0
Terrific purchase,5.0
Simply awesome,5.0
Decent product,3.0
Very Good,4.0
Wonderful,5.0
Decent product,3.0
Perfect product!,5.0
Classy product,5.0
Wonderful,5.0
Terrific purchase,5.0
Delightful,4.0
Best in the market!,5.0
Just wow!,5.0
Classy product,5.0
Wonderful,5.0
Terrific purchase,5.0
Delightful,4.0
Best in the market!,5.0
Just wow!,5.0
Terrific,5.0
Just okay,3.0
Highly recommended,5.0
Must buy!,5.0
Just wow!,5.0
Just wow!,5.0
Just wow!,5.0
Best in the market!,5.0
Best in the market!,5.0
Just wow!,5.0
Excellent,5.0
Highly recommended,5.0
Simply awesome,5.0
Simply awesome,5.0
Best in the market!,5.0
Just wow!,5.0
Excellent,5.0
Highly recommended,5.0
Simply awesome,5.0
Simply awesome,5.0
Best in the market!,5.0
Just wow!,5.0
Simply awesome,5.0
Classy product,5.0
Classy product,5.0
Terrific,5.0
Classy product,5.0
Highly recommended,5.0
Nice,3.0
Good choice,4.0
Just wow!,5.0
Worth every penny,5.0
Value-for-money,4.0
Mind-blowing purchase,5.0
Excellent,5.0
Nice product,4.0
Excellent,5.0
Great product,5.0
Simply awesome,5.0
Value-for-money,4.0
Wonderful,5.0
Must buy!,5.0
Worth every penny,5.0
Brilliant,5.0
Simply awesome,5.0
Value-for-money,4.0
Wonderful,5.0
Must buy!,5.0
Worth every penny,5.0
Brilliant,5.0
Worth every penny,5.0
Mind-blowing purchase,5.0
Perfect product!,5.0
Just wow!,5.0
Delightful,4.0
Simply awesome,5.0
Classy product,5.0
Just okay,3.0
Classy product,5.0
Good,3.0
Must buy!,5.0
Really Nice,4.0
Good quality product,4.0
Awesome,5.0
Value-for-money,4.0
Mind-blowing purchase,5.0
Really Nice,4.0
Worth the money,4.0
Delightful,4.0
Worth every penny,5.0
Very Good,4.0
Terrific purchase,5.0
Worth every penny,5.0
Fabulous!,5.0
Delightful,4.0
Worth every penny,5.0
Very Good,4.0
Terrific purchase,5.0
Worth every penny,5.0
Fabulous!,5.0
Super!,5.0
Good quality product,4.0
Worth every penny,5.0
Very Good,4.0
Just wow!,5.0
Value-for-money,4.0
Pretty good,4.0
Brilliant,5.0
Nice product,4.0
Brilliant,5.0
Best in the market!,5.0
Worth every penny,5.0
Value-for-money,4.0
Super!,5.0
Nice product,4.0
Brilliant,5.0
Best in the market!,5.0
Worth every penny,5.0
Value-for-money,4.0
Super!,5.0
Fabulous!,5.0
Fabulous!,5.0
Simply awesome,5.0
Nice product,4.0
Brilliant,5.0
Delightful,4.0
Excellent,5.0
Really Nice,4.0
Simply awesome,5.0
Simply awesome,5.0
Must buy!,5.0
Awesome,5.0
Pretty good,4.0
Terrific purchase,5.0
Awesome,5.0
Value-for-money,4.0
Fabulous!,5.0
Great product,5.0
Excellent,5.0
Highly recommended,5.0
Brilliant,5.0
Perfect product!,5.0
Super!,5.0
Worth the money,4.0
Super!,5.0
Highly recommended,5.0
Brilliant,5.0
Perfect product!,5.0
Super!,5.0
Worth the money,4.0
Super!,5.0
Just wow!,5.0
Excellent,5.0
Wonderful,5.0
Nice !!,5.0
Simply awesome,5.0
Excellent,5.0
Mind-blowing purchase,5.0
Best in the market!,5.0
Very Good,4.0
Good choice,4.0
Highly recommended,5.0
Very Good,4.0
Terrific,5.0
Great product,5.0
Great product,5.0
Mind-blowing purchase,5.0
Perfect product!,5.0
Great product,5.0
Perfect product!,5.0
Pretty good,4.0
Wonderful,5.0
Excellent,5.0
Nice product,4.0
Best in the market!,5.0
Does the job,3.0
Wonderful,4.0
Classy product,5.0
Worth the money,4.0
Fabulous!,5.0
Wonderful,5.0
Nice,3.0
Good choice,4.0
Good quality product,4.0
Awesome,5.0
Mind-blowing purchase,5.0
Very Good,4.0
Nice product,4.0
Simply awesome,5.0
Worth every penny,5.0
Good choice,4.0
Wonderful,4.0
Good choice,4.0
Excellent,5.0
Great product,5.0
Wonderful,5.0
Terrific purchase,5.0
Brilliant,5.0
Brilliant,5.0
Highly recommended,5.0
Best in the market!,5.0
Value-for-money,4.0
Nice product,4.0
Wonderful,5.0
Terrific,5.0
Decent product,3.0
Great product,5.0
Nice product,4.0
Great product,5.0
Nice product,4.0
Decent product,3.0
Good quality product,4.0
Pretty good,4.0
Classy product,5.0
Terrific purchase,5.0
Value-for-money,4.0
Worth the money,4.0
Must buy!,5.0
Nice product,4.0
Worth the money,4.0
Fair,3.0
Best in the market!,5.0
Must buy!,5.0
Nice,3.0
Just okay,3.0
Good choice,4.0
Good choice,4.0
Worth every penny,5.0
Pretty good,4.0
Good quality product,4.0
Very Good,4.0
Simply awesome,5.0
Terrific purchase,5.0
Worth every penny,5.0
Pretty good,4.0
Good quality product,4.0
Very Good,4.0
Simply awesome,5.0
Terrific purchase,5.0
Brilliant,5.0
Awesome,5.0
Highly recommended,5.0
Value-for-money,4.0
Classy product,5.0
Excellent,5.0
Just wow!,5.0
Value-for-money,4.0
Wonderful,5.0
Highly recommended,5.0
Highly recommended,5.0
Good choice,4.0
Mind-blowing purchase,5.0
Worth every penny,5.0
Wonderful,5.0
Excellent,5.0
Very Good,4.0
Worth every penny,5.0
Very Good,4.0
Terrific,5.0
Awesome,5.0
Worth every penny,5.0
Fabulous!,5.0
Worth every penny,5.0
Very Good,4.0
Terrific,5.0
Awesome,5.0
Worth every penny,5.0
Fabulous!,5.0
Decent product,3.0
Brilliant,5.0
Pretty good,4.0
Excellent,5.0
Brilliant,5.0
Delightful,4.0
Fabulous!,5.0
Nice product,4.0
Best in the market!,5.0
Brilliant,5.0
Just wow!,5.0
Best in the market!,5.0
Perfect product!,5.0
Pretty good,4.0
Must buy!,5.0
Does the job,3.0
Excellent,5.0
Terrific,5.0
Nice product,4.0
Worth the money,4.0
Excellent,5.0
Awesome,5.0
Fabulous!,5.0
Fair,3.0
Good,3.0
Worth the money,4.0
Good quality product,4.0
Delightful,4.0
Must buy!,5.0
Perfect product!,5.0
Fabulous!,5.0
Fabulous!,5.0
Value-for-money,5.0
Wonderful,5.0
Just okay,3.0
Best in the market!,5.0
Awesome,5.0
Worth the money,4.0
Just wow!,5.0
Must buy!,5.0
Very Good,4.0
Super!,5.0
Very Good,4.0
Must buy!,5.0
Good quality product,4.0
Terrific,5.0
Awesome,5.0
Super!,5.0
Mind-blowing purchase,5.0
Mind-blowing purchase,5.0
Good choice,4.0
Fabulous!,5.0
Mind-blowing purchase,5.0
Good choice,4.0
Fabulous!,5.0
Fabulous!,5.0
Worth every penny,5.0
Super!,5.0
Awesome,5.0
Fabulous!,5.0
Fabulous!,5.0
Really Nice,4.0
Good,3.0
Great product,5.0
Worth every penny,5.0
Fabulous!,5.0
Fabulous!,5.0
Really Nice,4.0
Good,3.0
Great product,5.0
Worth every penny,5.0
Pretty good,4.0
Just okay,3.0
Just okay,3.0
Nice,3.0
Fair,3.0
Highly recommended,5.0
Nice,3.0
Fabulous!,5.0
Pretty good,4.0
Great product,5.0
Wonderful,4.0
Excellent,5.0
Pretty good,4.0
Classy product,5.0
Just wow!,5.0
Classy product,5.0
Fabulous!,5.0
Perfect product!,5.0
Classy product,5.0
Perfect product!,5.0
Nice product,4.0
Great product Great Flipkart Service,5.0
Good quality product,4.0
Classy product,5.0
Awesome,5.0
Fair,3.0
Good,3.0
Terrific,5.0
Good choice,4.0
Classy product,5.0
Classy product,5.0
Awesome,5.0
Mind-blowing purchase,5.0
Super!,5.0
Delightful,4.0
Good choice,4.0
Good choice,4.0
Wonderful,5.0
Just okay,3.0
Really Nice,4.0
Highly recommended,5.0
Super!,5.0
Worth the money,4.0
Excellent,5.0
Value-for-money,4.0
Perfect product!,5.0
Wonderful,5.0
Wonderful,4.0
Great product,5.0
Good choice,4.0
Awesome,5.0
Simply awesome,5.0
Pretty good,4.0
Excellent,5.0
Pretty good,4.0
Classy product,5.0
Worth the money,4.0
Perfect product!,5.0
Awesome,5.0
Highly recommended,5.0
Excellent,5.0
Good choice,4.0
Wonderful,5.0
Delightful,4.0
Wonderful,4.0
Good quality product,4.0
Value-for-money,4.0
Mind-blowing purchase,5.0
Just wow!,5.0
Best in the market!,5.0
Terrific purchase,5.0
Great product,5.0
Awesome,5.0
Fabulous!,5.0
Pretty good,4.0
Brilliant,5.0
Simply awesome,5.0
Decent product,3.0
Perfect product!,5.0
Worth every penny,5.0
Value-for-money,4.0
Fabulous!,5.0
Nice product,4.0
Awesome,5.0
Just wow!,5.0
Awesome,5.0
Highly recommended,5.0
Highly recommended,5.0
Nice product,4.0
Very Good,4.0
Worth every penny,5.0
Value-for-money,4.0
Value-for-money,4.0
Perfect product!,5.0
Simply awesome,5.0
Awesome,5.0
Wonderful,4.0
Fabulous!,5.0
Must buy!,5.0
Fabulous!,5.0
Just okay,3.0
Value-for-money,4.0
Simply awesome,5.0
Wonderful,5.0
Highly recommended,5.0
Really Nice,4.0
Brilliant,5.0
Best in the market!,5.0
Terrific,5.0
Delightful,4.0
Brilliant,5.0
Mind-blowing purchase,5.0
Highly recommended,5.0
Pretty good,4.0
Awesome,5.0
Just wow!,5.0
Highly recommended,5.0
Does the job,3.0
Pretty good,4.0
Worth every penny,5.0
Simply awesome,5.0
Excellent,5.0
Classy product,5.0
Fair,3.0
Wonderful,5.0
Pretty good,4.0
Simply awesome,5.0
Excellent,5.0
Classy product,5.0
Fair,3.0
Wonderful,5.0
Pretty good,4.0
Must buy!,5.0
Must buy!,5.0
Wonderful,4.0
Pretty good,4.0
Wonderful,4.0
Terrific purchase,5.0
Super!,5.0
Terrific purchase,5.0
Really Nice,4.0
Brilliant,5.0
Delightful,4.0
Just wow!,5.0
Awesome,5.0
Best in the market!,5.0
Classy product,5.0
Excellent,5.0
Classy product,5.0
Perfect product!,5.0
Classy product,5.0
Worth every penny,5.0
Nice product,4.0
Best in the market!,5.0
Value-for-money,4.0
Fabulous!,5.0
Does the job,3.0
Excellent,5.0
Just wow!,5.0
Value-for-money,4.0
Perfect product!,5.0
Awesome,5.0
Good quality product,4.0
Fair,3.0
Excellent,5.0
Perfect product!,5.0
Awesome,5.0
Good quality product,4.0
Fair,3.0
Excellent,5.0
Worth the money,4.0
Fair,3.0
Worth every penny,5.0
Delightful,4.0
Best in the market!,5.0
Strong Build,5.0
Brilliant,5.0
Brilliant,5.0
Classy product,5.0
Terrific purchase,5.0
Wonderful,4.0
Best in the market!,5.0
Terrific,5.0
Pretty good,4.0
Great product,5.0
Very Good,4.0
Just okay,3.0
Value-for-money,4.0
Must buy!,5.0
Pretty good,4.0
Great product,5.0
Very Good,4.0
Just okay,3.0
Value-for-money,4.0
Must buy!,5.0
Terrific,5.0
Value-for-money,4.0
Excellent,5.0
Terrific purchase,5.0
Wonderful,5.0
Awesome,5.0
Mind-blowing purchase,5.0
Delightful,4.0
Worth the money,4.0
Perfect product!,5.0
Good choice,4.0
Brilliant,5.0
Simply awesome,5.0
Does the job,3.0
Classy product,5.0
Super!,5.0
Really Nice,4.0
Awesome,5.0
Worth every penny,5.0
Really Nice,4.0
Super!,5.0
Nice,3.0
Awesome,5.0
Fabulous!,5.0
Awesome,5.0
Good quality product,4.0
Super!,5.0
Good quality product,4.0
Value-for-money,4.0
Just wow!,5.0
Excellent,5.0
Must buy!,5.0
Awesome,5.0
Excellent,5.0
Value-for-money,4.0
Just wow!,5.0
Excellent,5.0
Must buy!,5.0
Awesome,5.0
Excellent,5.0
Simply awesome,5.0
Just wow!,5.0
Terrific,5.0
Just wow!,5.0
Best in the market!,5.0
Brilliant,5.0
Perfect product!,5.0
Highly recommended,5.0
Very Good,4.0
Good choice,4.0
Excellent,5.0
Awesome,5.0
Very Good,4.0
Pretty good,4.0
Wonderful,4.0
Really Nice,4.0
Must buy!,5.0
Must buy!,5.0
Perfect product!,5.0
Fabulous!,5.0
Wonderful,4.0
Worth every penny,5.0
Just wow!,5.0
Excellent,5.0
Perfect product!,5.0
Fabulous!,5.0
Wonderful,4.0
Worth every penny,5.0
Just wow!,5.0
Excellent,5.0
Perfect product!,5.0
Mind-blowing purchase,5.0
Just wow!,5.0
Great product,5.0
Worth the money,4.0
Classy product,5.0
Awesome,5.0
Must buy!,5.0
Delightful,4.0
Just okay,3.0
Worth every penny,5.0
Super!,5.0
Best in the market!,5.0
Mind-blowing purchase,5.0
Nice product,4.0
Super!,5.0
Mind-blowing purchase,5.0
Just wow!,5.0
Terrific purchase,5.0
Perfect product!,5.0
Classy product,5.0
Good choice,4.0
Just okay,3.0
Delightful,4.0
Awesome,5.0
Terrific,5.0
Worth every penny,5.0
Value-for-money,4.0
Excellent,5.0
Mind-blowing purchase,5.0
Nice product,4.0
Must buy!,5.0
Fair,3.0
